Zone,City,Source
ABD,Aberdeen,https://riders.deliveroo.co.uk/en/bicycle-boosts
MOS,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
SOL,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
STB,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
BRM,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
ACG,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
SDW,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
NBG,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
WLH,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
NLB,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
WOL,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
BVS,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
DDY,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
SHI,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
HLO,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
EDG,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
WLSL,Birmingham,https://riders.deliveroo.co.uk/en/bicycle-boosts
ALD,Camberley,https://riders.deliveroo.co.uk/en/bicycle-boosts
FLE,Camberley,https://riders.deliveroo.co.uk/en/bicycle-boosts
CMB,Camberley,https://riders.deliveroo.co.uk/en/bicycle-boosts
FRH,Camberley,https://riders.deliveroo.co.uk/en/bicycle-boosts
ASH,Ashford,https://riders.deliveroo.co.uk/en/bicycle-boosts
AYL,Aylesbury,https://riders.deliveroo.co.uk/en/bicycle-boosts
FIN,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
BWD,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
BAR,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
EMH,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
STAN,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
POT,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
GBC,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
EAB,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
WAL,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
ROM,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
UPM,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
BARK,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
RNH,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
ILF,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
SWF,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
LEY,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
UPT,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
CGF,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
STR,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
BAS,Basingstoke,https://riders.deliveroo.co.uk/en/bicycle-boosts
BED,Bedford,https://riders.deliveroo.co.uk/en/bicycle-boosts
SID,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
ORP,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
CLH,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
DRT,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
WLW,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
ELT,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
BEX,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
CRO,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
SHW,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
PRL,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
CPP,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
POO,Bournemouth,https://riders.deliveroo.co.uk/en/bicycle-boosts
BOU,Bournemouth,https://riders.deliveroo.co.uk/en/bicycle-boosts
BRME,Bournemouth,https://riders.deliveroo.co.uk/en/bicycle-boosts
WKN,Bracknell,https://riders.deliveroo.co.uk/en/bicycle-boosts
BRCK,Bracknell,https://riders.deliveroo.co.uk/en/bicycle-boosts
BRD2,Bradford,https://riders.deliveroo.co.uk/en/bicycle-boosts
BRD1,Bradford,https://riders.deliveroo.co.uk/en/bicycle-boosts
BRT,Braintree,https://riders.deliveroo.co.uk/en/bicycle-boosts
BRW,Brentwood,https://riders.deliveroo.co.uk/en/bicycle-boosts
BSL,Basildon,https://riders.deliveroo.co.uk/en/bicycle-boosts
BTH,Bath,https://riders.deliveroo.co.uk/en/bicycle-boosts
CAN,Canterbury,https://riders.deliveroo.co.uk/en/bicycle-boosts
CHA,Chatham,https://riders.deliveroo.co.uk/en/bicycle-boosts
CHE,Cheltenham,https://riders.deliveroo.co.uk/en/bicycle-boosts
RUS,Manchester,https://riders.deliveroo.co.uk/en/bicycle-boosts
ECC,Manchester,https://riders.deliveroo.co.uk/en/bicycle-boosts
CHH,Manchester,https://riders.deliveroo.co.uk/en/bicycle-boosts
CHO,Manchester,https://riders.deliveroo.co.uk/en/bicycle-boosts
DID,Manchester,https://riders.deliveroo.co.uk/en/bicycle-boosts
MC,Manchester,https://riders.deliveroo.co.uk/en/bicycle-boosts
ME,Manchester,https://riders.deliveroo.co.uk/en/bicycle-boosts
CHS,Chichester,https://riders.deliveroo.co.uk/en/bicycle-boosts
CLC,Colchester,https://riders.deliveroo.co.uk/en/bicycle-boosts
CLM,Chelmsford,https://riders.deliveroo.co.uk/en/bicycle-boosts
HOL,Coventry,https://riders.deliveroo.co.uk/en/bicycle-boosts
COV,Coventry,https://riders.deliveroo.co.uk/en/bicycle-boosts
CRW,Crawley,https://riders.deliveroo.co.uk/en/bicycle-boosts
DER,Derby,https://riders.deliveroo.co.uk/en/bicycle-boosts
DND,Dundee,https://riders.deliveroo.co.uk/en/bicycle-boosts
DNS,Luton Central,https://riders.deliveroo.co.uk/en/bicycle-boosts
LUT,Luton Central,https://riders.deliveroo.co.uk/en/bicycle-boosts
PGS,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
ENF,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
EXE,Exeter,https://riders.deliveroo.co.uk/en/bicycle-boosts
GOS,Fareham,https://riders.deliveroo.co.uk/en/bicycle-boosts
FAR,Fareham,https://riders.deliveroo.co.uk/en/bicycle-boosts
HCN,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
TWI,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
RIC,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
STAI,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
FLT,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
HAN,Stoke-on-Trent,https://riders.deliveroo.co.uk/en/bicycle-boosts
SOT,Stoke-on-Trent,https://riders.deliveroo.co.uk/en/bicycle-boosts
HAR,Harrogate,https://riders.deliveroo.co.uk/en/bicycle-boosts
HAST,Hastings,https://riders.deliveroo.co.uk/en/bicycle-boosts
STL,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
HAY,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
UXB,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
HOR,Horsham,https://riders.deliveroo.co.uk/en/bicycle-boosts
PIN,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
WEM,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
RSL,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
HRO,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
HUL,Hull,https://riders.deliveroo.co.uk/en/bicycle-boosts
HWC,High Wycombe,https://riders.deliveroo.co.uk/en/bicycle-boosts
IPS,Ipswich,https://riders.deliveroo.co.uk/en/bicycle-boosts
LAN,Lancaster,https://riders.deliveroo.co.uk/en/bicycle-boosts
LIN,Lincoln,https://riders.deliveroo.co.uk/en/bicycle-boosts
MAID,Maidenhead,https://riders.deliveroo.co.uk/en/bicycle-boosts
MDS,Maidstone,https://riders.deliveroo.co.uk/en/bicycle-boosts
MID,Middlesbrough,https://riders.deliveroo.co.uk/en/bicycle-boosts
MK,Milton Keynes,https://riders.deliveroo.co.uk/en/bicycle-boosts
NOR,Norwich,https://riders.deliveroo.co.uk/en/bicycle-boosts
NTH,Northampton,https://riders.deliveroo.co.uk/en/bicycle-boosts
NUN,Nuneaton,https://riders.deliveroo.co.uk/en/bicycle-boosts
NWB,Newbury,https://riders.deliveroo.co.uk/en/bicycle-boosts
NWP,Newport,https://riders.deliveroo.co.uk/en/bicycle-boosts
PET,Peterborough,https://riders.deliveroo.co.uk/en/bicycle-boosts
PLY,Plymouth,https://riders.deliveroo.co.uk/en/bicycle-boosts
PRSN,Preston,https://riders.deliveroo.co.uk/en/bicycle-boosts
WAR,Royal Leamington Spa,https://riders.deliveroo.co.uk/en/bicycle-boosts
RLS,Royal Leamington Spa,https://riders.deliveroo.co.uk/en/bicycle-boosts
SCU,Scunthorpe,https://riders.deliveroo.co.uk/en/bicycle-boosts
SHR,Shrewsbury,https://riders.deliveroo.co.uk/en/bicycle-boosts
WIN,Windsor,https://riders.deliveroo.co.uk/en/bicycle-boosts
SLO,Windsor,https://riders.deliveroo.co.uk/en/bicycle-boosts
SOS,Southend on sea,https://riders.deliveroo.co.uk/en/bicycle-boosts
STA,St Albans,https://riders.deliveroo.co.uk/en/bicycle-boosts
STEV,Stevenage,https://riders.deliveroo.co.uk/en/bicycle-boosts
SWA,Swansea,https://riders.deliveroo.co.uk/en/bicycle-boosts
SWI,Swindon,https://riders.deliveroo.co.uk/en/bicycle-boosts
TAM,Tamworth,https://riders.deliveroo.co.uk/en/bicycle-boosts
WAT,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
WLY,Welwyn Garden City,https://riders.deliveroo.co.uk/en/bicycle-boosts
WOK,Woking,https://riders.deliveroo.co.uk/en/bicycle-boosts
WOR,Worcester,https://riders.deliveroo.co.uk/en/bicycle-boosts
WRG,Warrington,https://riders.deliveroo.co.uk/en/bicycle-boosts
WRT,Worthing,https://riders.deliveroo.co.uk/en/bicycle-boosts
YOR,York,https://riders.deliveroo.co.uk/en/bicycle-boosts
EC,London,London zone map
LBR,London,London zone map
VKO,London,London zone map
DAL,London,London zone map
WC,London,London zone map
CLA,London,London zone map
NHP,London,London zone map
BLW,London,London zone map
MMS,London,London zone map
BAL,London,London zone map
BRS,Bristol,Ethan
EDN,Edinburgh,Ethan
EDS,Edinburgh,Ethan
EDSW,Edinburgh,Ethan
YOR,York,Ethan
GLC,Glasgow,Ethan
LOU,Loughborough,Ethan
ABR,Aberystwyth,Ethan
REA,Reading,Ethan
CST,Chester,Ethan
RTW,Tunbridge Wells,Ethan
NTG,Nottingham,Ethan
LEI,Leicester,https://riders.deliveroo.co.uk/en/bicycle-boosts
