Zone,City,Region,Source
ABD,Aberdeen,Scotland,https://riders.deliveroo.co.uk/en/bicycle-boosts
MOS,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
SOL,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
STB,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
BRM,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
ACG,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
SDW,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
NBG,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
WLH,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
NLB,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
WOL,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
BVS,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
DDY,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
SHI,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
HLO,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
EDG,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
WLSL,Birmingham,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
ALD,Camberley,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
FLE,Camberley,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
CMB,Camberley,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
FRH,Camberley,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
ASH,Ashford,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
AYL,Aylesbury,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
FIN,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
BWD,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
BAR,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
EMH,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
STAN,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
POT,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
GBC,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
EAB,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
WAL,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
ROM,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
UPM,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
BARK,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
RNH,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
ILF,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
SWF,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
LEY,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
UPT,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
CGF,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
STR,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
BAS,Basingstoke,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
BED,Bedford,East of England,https://riders.deliveroo.co.uk/en/bicycle-boosts
SID,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
ORP,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
CLH,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
DRT,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
WLW,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
ELT,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
BEX,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
CRO,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
SHW,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
PRL,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
CPP,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
POO,Bournemouth,South West,https://riders.deliveroo.co.uk/en/bicycle-boosts
BOU,Bournemouth,South West,https://riders.deliveroo.co.uk/en/bicycle-boosts
BRME,Bournemouth,South West,https://riders.deliveroo.co.uk/en/bicycle-boosts
WKN,Bracknell,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
BRCK,Bracknell,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
BRD2,Bradford,Yorkshire & Humber,https://riders.deliveroo.co.uk/en/bicycle-boosts
BRD1,Bradford,Yorkshire & Humber,https://riders.deliveroo.co.uk/en/bicycle-boosts
BRT,Braintree,East of England,https://riders.deliveroo.co.uk/en/bicycle-boosts
BRW,Brentwood,East of England,https://riders.deliveroo.co.uk/en/bicycle-boosts
BSL,Basildon,East of England,https://riders.deliveroo.co.uk/en/bicycle-boosts
BTH,Bath,South West,https://riders.deliveroo.co.uk/en/bicycle-boosts
CAN,Canterbury,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
CHA,Chatham,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
CHE,Cheltenham,South West,https://riders.deliveroo.co.uk/en/bicycle-boosts
RUS,Manchester,North West,https://riders.deliveroo.co.uk/en/bicycle-boosts
ECC,Manchester,North West,https://riders.deliveroo.co.uk/en/bicycle-boosts
CHH,Manchester,North West,https://riders.deliveroo.co.uk/en/bicycle-boosts
CHO,Manchester,North West,https://riders.deliveroo.co.uk/en/bicycle-boosts
DID,Manchester,North West,https://riders.deliveroo.co.uk/en/bicycle-boosts
MC,Manchester,North West,https://riders.deliveroo.co.uk/en/bicycle-boosts
ME,Manchester,North West,https://riders.deliveroo.co.uk/en/bicycle-boosts
CHS,Chichester,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
CLC,Colchester,East of England,https://riders.deliveroo.co.uk/en/bicycle-boosts
CLM,Chelmsford,East of England,https://riders.deliveroo.co.uk/en/bicycle-boosts
HOL,Coventry,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
COV,Coventry,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
CRW,Crawley,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
DER,Derby,East Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
DND,Dundee,Scotland,https://riders.deliveroo.co.uk/en/bicycle-boosts
DNS,Luton Central,East of England,https://riders.deliveroo.co.uk/en/bicycle-boosts
LUT,Luton Central,East of England,https://riders.deliveroo.co.uk/en/bicycle-boosts
PGS,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
ENF,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
EXE,Exeter,South West,https://riders.deliveroo.co.uk/en/bicycle-boosts
GOS,Fareham,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
FAR,Fareham,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
HCN,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
TWI,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
RIC,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
STAI,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
FLT,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
HAN,Stoke-on-Trent,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
SOT,Stoke-on-Trent,West Midlands,https://riders.deliveroo.co.uk/en/bicycle-boosts
HAR,Harrogate,Yorkshire & Humber,https://riders.deliveroo.co.uk/en/bicycle-boosts
HAST,Hastings,South East,https://riders.deliveroo.co.uk/en/bicycle-boosts
STL,London,London,https://riders.deliveroo.co.uk/en/bicycle-boosts
